rank,phase,run_id,learning_rate,rewa_k,rewa_m,rewa_eps,rewa_weight_decay,best_val_loss,best_val_ppl,selected_next,selection_reason,theory_status
1,screen,screen/k5-m0-eps0-wd1e-4-lr0.003-seed0,0.003,5.0,0.0,0.0,0.0001,3.5648665905,35.3347390999,yes,top-4 3M validation loss,base-admissible; epsilon=0
22,screen,screen/k9-m2-eps0-wd1e-4-lr6e-4-seed0,0.0006,9.0,2.0,0.0,0.0001,4.27627220154,71.971643527,no,,base-admissible; epsilon=0
23,screen,screen/k9-m4-eps0-wd1e-4-lr6e-4-seed0,0.0006,9.0,4.0,0.0,0.0001,4.27706332207,72.0286043002,no,,base-admissible; epsilon=0
24,screen,screen/k7-m2-eps0-wd1e-4-lr6e-4-seed0,0.0006,7.0,2.0,0.0,0.0001,4.33292601109,76.1668258109,no,,base-admissible; epsilon=0
25,screen,screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0,0.0006,3.0,0.0,0.0,0.0001,4.34519782066,77.1072893858,no,,base-admissible; epsilon=0
26,screen,screen/k3-m1-eps0-wd1e-4-lr6e-4-seed0,0.0006,3.0,1.0,0.0,0.0001,4.34603307247,77.171720293,no,,base-admissible; epsilon=0
27,screen,screen/k5-m0-eps0-wd1e-4-lr6e-4-seed0,0.0006,5.0,0.0,0.0,0.0001,4.36208431721,78.4204172224,no,,base-admissible; epsilon=0
28,screen,screen/k5-m2-eps0-wd1e-4-lr6e-4-seed0,0.0006,5.0,2.0,0.0,0.0001,4.36318125725,78.5064869161,no,,base-admissible; epsilon=0
29,screen,screen/k9-m2-eps0-wd1e-4-lr3e-4-seed0,0.0003,9.0,2.0,0.0,0.0001,4.90824503899,135.401581279,no,,base-admissible; epsilon=0
30,screen,screen/k9-m4-eps0-wd1e-4-lr3e-4-seed0,0.0003,9.0,4.0,0.0,0.0001,4.90872519016,135.466610118,no,,base-admissible; epsilon=0
31,screen,screen/k7-m2-eps0-wd1e-4-lr3e-4-seed0,0.0003,7.0,2.0,0.0,0.0001,4.96245946884,142.944932523,no,,base-admissible; epsilon=0
32,screen,screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0,0.0003,3.0,0.0,0.0,0.0001,4.96643574238,143.514452208,no,,base-admissible; epsilon=0
33,screen,screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0,0.0003,3.0,1.0,0.0,0.0001,4.96679275036,143.565697159,no,,base-admissible; epsilon=0
34,screen,screen/k5-m0-eps0-wd1e-4-lr3e-4-seed0,0.0003,5.0,0.0,0.0,0.0001,5.00430459976,149.053395344,no,,base-admissible; epsilon=0
35,screen,screen/k5-m2-eps0-wd1e-4-lr3e-4-seed0,0.0003,5.0,2.0,0.0,0.0001,5.0049369812,149.147683754,no,,base-admissible; epsilon=0
